y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.3775,0,0.6225
1,3,0.998,0,0.002
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.3285,0,0.6715
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.003,0,0.997
3,2,0.5955,0,0.4045
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0155,0,0.9845
4,3,0.974,0,0.026
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.12,0,0.88
5,4,0.968,0,0.032
6,1,0,0.009,0.991
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.1915,0.208,0.6005
7,1,0,0.0415,0.9585
7,2,0,0.8585,0.1415
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.1515,0.8485
8,3,0,0.9975,0.0025
8,4,0,1,0
9,1,0,0.036,0.964
9,2,0,0.905,0.095
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.055,0.945
10,3,0,0.8635,0.1365
10,4,0,0.984,0.016
