y,fzone,punt,kick,gofor
1,1,0.003,0,0.997
1,2,0.586,0,0.414
1,3,1,0,0
1,4,1,0,0
2,1,0.0015,0,0.9985
2,2,0.5215,0,0.4785
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0115,0,0.9885
3,2,0.825,0,0.175
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.182,0,0.818
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.509,0,0.491
5,4,0.997,0,0.003
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.002,0.088,0.91
6,4,0.57,0.1775,0.2525
7,1,0,0.2005,0.7995
7,2,0,0.979,0.021
7,3,0,1,0
7,4,0,1,0
8,1,0,0.015,0.985
8,2,0,0.892,0.108
8,3,0,1,0
8,4,0,1,0
9,1,0,0.465,0.535
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.596,0.404
10,3,0,0.9905,0.0095
10,4,0,1,0
