y,fzone,punt,kick,gofor
1,1,0.331,0,0.669
1,2,0.99,0,0.01
1,3,1,0,0
1,4,1,0,0
2,1,0.223,0,0.777
2,2,0.989,0,0.011
2,3,1,0,0
2,4,1,0,0
3,1,0.5135,0,0.4865
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.092,0,0.908
4,2,0.9855,0,0.0145
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.155,0,0.845
5,3,0.9965,0,0.0035
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0315,0.9685
6,3,0.426,0.085,0.489
6,4,0.9005,0.0975,0.002
7,1,0,0.4975,0.5025
7,2,0,0.997,0.003
7,3,0,1,0
7,4,0,1,0
8,1,0,0.239,0.761
8,2,0,0.9955,0.0045
8,3,0,1,0
8,4,0,1,0
9,1,0,0.879,0.121
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0615,0.9385
10,2,0,0.931,0.069
10,3,0,0.9995,0.0005
10,4,0,1,0
