y,fzone,punt,kick,gofor
1,1,0.981,0,0.019
1,2,0.9915,0,0.0085
1,3,1,0,0
1,4,1,0,0
2,1,0.981,0,0.019
2,2,0.99,0,0.01
2,3,1,0,0
2,4,1,0,0
3,1,0.989,0,0.011
3,2,0.997,0,0.003
3,3,1,0,0
3,4,1,0,0
4,1,0.978,0,0.022
4,2,0.9935,0,0.0065
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0.6225,0,0.3775
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.044,0.017,0.939
6,2,0.871,0.029,0.1
6,3,0.9655,0.0295,0.005
6,4,0.967,0.03,0.003
7,1,0,0.9745,0.0255
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9805,0.0195
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9965,0.0035
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9775,0.0225
10,2,0,0.998,0.002
10,3,0,0.9995,0.0005
10,4,0,1,0
