y,fzone,punt,kick,gofor
1,1,0.2525,0,0.7475
1,2,0.9845,0,0.0155
1,3,1,0,0
1,4,1,0,0
2,1,0.184,0,0.816
2,2,0.985,0,0.015
2,3,1,0,0
2,4,1,0,0
3,1,0.4525,0,0.5475
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.0635,0,0.9365
4,2,0.9735,0,0.0265
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1005,0,0.8995
5,3,0.995,0,0.005
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.0335,0.9665
6,3,0.3385,0.0885,0.573
6,4,0.89,0.1065,0.0035
7,1,0,0.551,0.449
7,2,0,0.998,0.002
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2855,0.7145
8,2,0,0.996,0.004
8,3,0,1,0
8,4,0,1,0
9,1,0,0.907,0.093
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.076,0.924
10,2,0,0.949,0.051
10,3,0,0.9995,0.0005
10,4,0,1,0
