y,fzone,punt,kick,gofor
1,1,0.228,0,0.772
1,2,0.98,0,0.02
1,3,1,0,0
1,4,1,0,0
2,1,0.1565,0,0.8435
2,2,0.9815,0,0.0185
2,3,1,0,0
2,4,1,0,0
3,1,0.402,0,0.598
3,2,0.999,0,0.001
3,3,1,0,0
3,4,1,0,0
4,1,0.043,0,0.957
4,2,0.9555,0,0.0445
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.064,0,0.936
5,3,0.9935,0,0.0065
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.03,0.97
6,3,0.2625,0.089,0.6485
6,4,0.885,0.11,0.005
7,1,0,0.437,0.563
7,2,0,0.9955,0.0045
7,3,0,1,0
7,4,0,1,0
8,1,0,0.154,0.846
8,2,0,0.989,0.011
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8205,0.1795
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.032,0.968
10,2,0,0.889,0.111
10,3,0,0.9995,0.0005
10,4,0,1,0
