y,fzone,punt,kick,gofor
1,1,0.056,0,0.944
1,2,0.8825,0,0.1175
1,3,1,0,0
1,4,1,0,0
2,1,0.0345,0,0.9655
2,2,0.8905,0,0.1095
2,3,1,0,0
2,4,1,0,0
3,1,0.1205,0,0.8795
3,2,0.9865,0,0.0135
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.6605,0,0.3395
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.8705,0,0.1295
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.0345,0.0935,0.872
6,4,0.776,0.152,0.072
7,1,0,0.2975,0.7025
7,2,0,0.9865,0.0135
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0325,0.9675
8,2,0,0.9275,0.0725
8,3,0,1,0
8,4,0,1,0
9,1,0,0.5685,0.4315
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.003,0.997
10,2,0,0.651,0.349
10,3,0,0.994,0.006
10,4,0,1,0
