y,fzone,punt,kick,gofor
1,1,0.6635,0,0.3365
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.5355,0,0.4645
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.834,0,0.166
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.4085,0,0.5915
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.002,0,0.998
5,2,0.6085,0,0.3915
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0.0015,0.0345,0.964
6,3,0.8145,0.07,0.1155
6,4,0.9295,0.0705,0
7,1,0,0.694,0.306
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5525,0.4475
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9705,0.0295
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2525,0.7475
10,2,0,0.9915,0.0085
10,3,0,1,0
10,4,0,1,0
