y,fzone,punt,kick,gofor
1,1,0.0505,0,0.9495
1,2,0.8715,0,0.1285
1,3,1,0,0
1,4,1,0,0
2,1,0.023,0,0.977
2,2,0.863,0,0.137
2,3,1,0,0
2,4,1,0,0
3,1,0.1065,0,0.8935
3,2,0.984,0,0.016
3,3,1,0,0
3,4,1,0,0
4,1,0.0035,0,0.9965
4,2,0.703,0,0.297
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0025,0,0.9975
5,3,0.9265,0,0.0735
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.0775,0.091,0.8315
6,4,0.8355,0.1315,0.033
7,1,0,0.3605,0.6395
7,2,0,0.9925,0.0075
7,3,0,1,0
7,4,0,1,0
8,1,0,0.1135,0.8865
8,2,0,0.987,0.013
8,3,0,1,0
8,4,0,1,0
9,1,0,0.774,0.226
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0365,0.9635
10,2,0,0.8795,0.1205
10,3,0,0.9995,0.0005
10,4,0,1,0
