y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.214,0,0.786
1,3,0.989,0,0.011
1,4,1,0,0
2,1,0,0,1
2,2,0.183,0,0.817
2,3,0.9975,0,0.0025
2,4,1,0,0
3,1,0,0,1
3,2,0.357,0,0.643
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.0005,0,0.9995
4,3,0.858,0,0.142
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0235,0,0.9765
5,4,0.8695,0,0.1305
6,1,0,0.0085,0.9915
6,2,0,0.0255,0.9745
6,3,0,0.085,0.915
6,4,0.082,0.216,0.702
7,1,0,0.02,0.98
7,2,0,0.7565,0.2435
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.023,0.977
8,3,0,0.984,0.016
8,4,0,1,0
9,1,0,0.005,0.995
9,2,0,0.732,0.268
9,3,0,0.995,0.005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.01,0.99
10,3,0,0.7115,0.2885
10,4,0,0.9665,0.0335
