y,fzone,punt,kick,gofor
1,1,0.094,0,0.906
1,2,0.9345,0,0.0655
1,3,1,0,0
1,4,1,0,0
2,1,0.055,0,0.945
2,2,0.9425,0,0.0575
2,3,1,0,0
2,4,1,0,0
3,1,0.219,0,0.781
3,2,0.994,0,0.006
3,3,1,0,0
3,4,1,0,0
4,1,0.0165,0,0.9835
4,2,0.891,0,0.109
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0265,0,0.9735
5,3,0.9815,0,0.0185
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.195,0.086,0.719
6,4,0.8775,0.112,0.0105
7,1,0,0.375,0.625
7,2,0,0.994,0.006
7,3,0,1,0
7,4,0,1,0
8,1,0,0.153,0.847
8,2,0,0.9905,0.0095
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8175,0.1825
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.053,0.947
10,2,0,0.9155,0.0845
10,3,0,0.9995,0.0005
10,4,0,1,0
