y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.173,0,0.827
1,3,0.9825,0,0.0175
1,4,1,0,0
2,1,0,0,1
2,2,0.141,0,0.859
2,3,0.9955,0,0.0045
2,4,1,0,0
3,1,0,0,1
3,2,0.277,0,0.723
3,3,0.998,0,0.002
3,4,1,0,0
4,1,0,0,1
4,2,0.0005,0,0.9995
4,3,0.768,0,0.232
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0125,0,0.9875
5,4,0.8085,0,0.1915
6,1,0,0.008,0.992
6,2,0,0.0245,0.9755
6,3,0,0.0825,0.9175
6,4,0.0605,0.214,0.7255
7,1,0,0.0095,0.9905
7,2,0,0.6535,0.3465
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0055,0.9945
8,3,0,0.9495,0.0505
8,4,0,1,0
9,1,0,0.002,0.998
9,2,0,0.609,0.391
9,3,0,0.987,0.013
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.0025,0.9975
10,3,0,0.6215,0.3785
10,4,0,0.956,0.044
