y,fzone,punt,kick,gofor
1,1,0.5525,0,0.4475
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.4395,0,0.5605
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.762,0,0.238
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.3005,0,0.6995
4,2,0.9985,0,0.0015
4,3,1,0,0
4,4,1,0,0
5,1,0.0005,0,0.9995
5,2,0.4755,0,0.5245
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0.0005,0.0345,0.965
6,3,0.7345,0.077,0.1885
6,4,0.9215,0.0785,0
7,1,0,0.7015,0.2985
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.556,0.444
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9725,0.0275
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.248,0.752
10,2,0,0.9905,0.0095
10,3,0,1,0
10,4,0,1,0
