y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.15,0,0.85
1,3,0.9775,0,0.0225
1,4,1,0,0
2,1,0,0,1
2,2,0.12,0,0.88
2,3,0.994,0,0.006
2,4,1,0,0
3,1,0,0,1
3,2,0.246,0,0.754
3,3,0.998,0,0.002
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.731,0,0.269
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0095,0,0.9905
5,4,0.781,0,0.219
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.0835,0.9165
6,4,0.0495,0.2175,0.733
7,1,0,0.01,0.99
7,2,0,0.663,0.337
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.005,0.995
8,3,0,0.9445,0.0555
8,4,0,1,0
9,1,0,0.001,0.999
9,2,0,0.5895,0.4105
9,3,0,0.9855,0.0145
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.0025,0.9975
10,3,0,0.606,0.394
10,4,0,0.953,0.047
