y,fzone,punt,kick,gofor
1,1,0.2795,0,0.7205
1,2,0.9865,0,0.0135
1,3,1,0,0
1,4,1,0,0
2,1,0.201,0,0.799
2,2,0.986,0,0.014
2,3,1,0,0
2,4,1,0,0
3,1,0.475,0,0.525
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.072,0,0.928
4,2,0.98,0,0.02
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1255,0,0.8745
5,3,0.996,0,0.004
5,4,1,0,0
6,1,0,0.0105,0.9895
6,2,0,0.033,0.967
6,3,0.38,0.0875,0.5325
6,4,0.8955,0.1015,0.003
7,1,0,0.543,0.457
7,2,0,0.998,0.002
7,3,0,1,0
7,4,0,1,0
8,1,0,0.284,0.716
8,2,0,0.9965,0.0035
8,3,0,1,0
8,4,0,1,0
9,1,0,0.906,0.094
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.081,0.919
10,2,0,0.9495,0.0505
10,3,0,0.9995,0.0005
10,4,0,1,0
