y,fzone,punt,kick,gofor
1,1,0.0105,0,0.9895
1,2,0.7145,0,0.2855
1,3,1,0,0
1,4,1,0,0
2,1,0.0065,0,0.9935
2,2,0.6775,0,0.3225
2,3,1,0,0
2,4,1,0,0
3,1,0.035,0,0.965
3,2,0.9355,0,0.0645
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.4165,0,0.5835
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.7495,0,0.2505
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.0165,0.0925,0.891
6,4,0.728,0.1595,0.1125
7,1,0,0.298,0.702
7,2,0,0.9855,0.0145
7,3,0,1,0
7,4,0,1,0
8,1,0,0.06,0.94
8,2,0,0.96,0.04
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6555,0.3445
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0165,0.9835
10,2,0,0.778,0.222
10,3,0,0.997,0.003
10,4,0,1,0
