y,fzone,punt,kick,gofor
1,1,0.082,0,0.918
1,2,0.925,0,0.075
1,3,1,0,0
1,4,1,0,0
2,1,0.0535,0,0.9465
2,2,0.941,0,0.059
2,3,1,0,0
2,4,1,0,0
3,1,0.2305,0,0.7695
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.0205,0,0.9795
4,2,0.9125,0,0.0875
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.036,0,0.964
5,3,0.986,0,0.014
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.235,0.0825,0.6825
6,4,0.888,0.106,0.006
7,1,0,0.3955,0.6045
7,2,0,0.9945,0.0055
7,3,0,1,0
7,4,0,1,0
8,1,0,0.191,0.809
8,2,0,0.9915,0.0085
8,3,0,1,0
8,4,0,1,0
9,1,0,0.848,0.152
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.082,0.918
10,2,0,0.933,0.067
10,3,0,0.9995,0.0005
10,4,0,1,0
