y,fzone,punt,kick,gofor
1,1,0.9755,0,0.0245
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.9705,0,0.0295
2,2,0.9975,0,0.0025
2,3,1,0,0
2,4,1,0,0
3,1,0.9915,0,0.0085
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9695,0,0.0305
4,2,0.997,0,0.003
4,3,1,0,0
4,4,1,0,0
5,1,0.495,0,0.505
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.0185,0.017,0.9645
6,2,0.788,0.032,0.18
6,3,0.9615,0.034,0.0045
6,4,0.963,0.0345,0.0025
7,1,0,0.9815,0.0185
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.995,0.005
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9945,0.0055
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
