y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.373,0,0.627
1,3,0.998,0,0.002
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.324,0,0.676
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.003,0,0.997
3,2,0.5875,0,0.4125
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0145,0,0.9855
4,3,0.9735,0,0.0265
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.1165,0,0.8835
5,4,0.967,0,0.033
6,1,0,0.009,0.991
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.1905,0.208,0.6015
7,1,0,0.041,0.959
7,2,0,0.857,0.143
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.144,0.856
8,3,0,0.9975,0.0025
8,4,0,1,0
9,1,0,0.035,0.965
9,2,0,0.9015,0.0985
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.054,0.946
10,3,0,0.86,0.14
10,4,0,0.9835,0.0165
