y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.1945,0,0.8055
1,3,0.986,0,0.014
1,4,1,0,0
2,1,0,0,1
2,2,0.1645,0,0.8355
2,3,0.9975,0,0.0025
2,4,1,0,0
3,1,0,0,1
3,2,0.3395,0,0.6605
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.0005,0,0.9995
4,3,0.8535,0,0.1465
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.023,0,0.977
5,4,0.868,0,0.132
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.0815,0.216,0.7025
7,1,0,0.02,0.98
7,2,0,0.7575,0.2425
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.021,0.979
8,3,0,0.9835,0.0165
8,4,0,1,0
9,1,0,0.005,0.995
9,2,0,0.732,0.268
9,3,0,0.995,0.005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.01,0.99
10,3,0,0.7125,0.2875
10,4,0,0.966,0.034
