y,fzone,punt,kick,gofor
1,1,0.411,0,0.589
1,2,0.996,0,0.004
1,3,1,0,0
1,4,1,0,0
2,1,0.265,0,0.735
2,2,0.994,0,0.006
2,3,1,0,0
2,4,1,0,0
3,1,0.6305,0,0.3695
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.2085,0,0.7915
4,2,0.9955,0,0.0045
4,3,1,0,0
4,4,1,0,0
5,1,0.0005,0,0.9995
5,2,0.445,0,0.555
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.0005,0.028,0.9715
6,3,0.758,0.067,0.175
6,4,0.932,0.068,0
7,1,0,0.572,0.428
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.483,0.517
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9615,0.0385
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.3175,0.6825
10,2,0,0.9955,0.0045
10,3,0,1,0
10,4,0,1,0
