y,fzone,punt,kick,gofor
1,1,0.4165,0,0.5835
1,2,0.995,0,0.005
1,3,1,0,0
1,4,1,0,0
2,1,0.2995,0,0.7005
2,2,0.996,0,0.004
2,3,1,0,0
2,4,1,0,0
3,1,0.6235,0,0.3765
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.156,0,0.844
4,2,0.9925,0,0.0075
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2715,0,0.7285
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.033,0.967
6,3,0.555,0.084,0.361
6,4,0.9075,0.091,0.0015
7,1,0,0.5825,0.4175
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3555,0.6445
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.931,0.069
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1165,0.8835
10,2,0,0.971,0.029
10,3,0,0.9995,0.0005
10,4,0,1,0
