y,fzone,punt,kick,gofor
1,1,0.6035,0,0.3965
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.48,0,0.52
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.7975,0,0.2025
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.349,0,0.651
4,2,0.9985,0,0.0015
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.527,0,0.473
5,3,1,0,0
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0.0005,0.0345,0.965
6,3,0.7675,0.0725,0.16
6,4,0.927,0.073,0
7,1,0,0.715,0.285
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5745,0.4255
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.975,0.025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2685,0.7315
10,2,0,0.9915,0.0085
10,3,0,1,0
10,4,0,1,0
