y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.0175,0,0.9825
1,4,0.4965,0,0.5035
2,1,0,0,1
2,2,0,0,1
2,3,0.019,0,0.981
2,4,0.731,0,0.269
3,1,0,0,1
3,2,0,0,1
3,3,0.0305,0,0.9695
3,4,0.8555,0,0.1445
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0.4625,0,0.5375
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.1435,0,0.8565
6,1,0,0.0085,0.9915
6,2,0,0.026,0.974
6,3,0,0.0855,0.9145
6,4,0.0015,0.224,0.7745
7,1,0,0.007,0.993
7,2,0,0.598,0.402
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0025,0.9975
8,3,0,0.9,0.1
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.5095,0.4905
9,3,0,0.983,0.017
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.001,0.999
10,3,0,0.5575,0.4425
10,4,0,0.9445,0.0555
