y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.018,0,0.982
1,4,0.501,0,0.499
2,1,0,0,1
2,2,0,0,1
2,3,0.0195,0,0.9805
2,4,0.7375,0,0.2625
3,1,0,0,1
3,2,0,0,1
3,3,0.0315,0,0.9685
3,4,0.857,0,0.143
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0.4645,0,0.5355
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.1435,0,0.8565
6,1,0,0.0085,0.9915
6,2,0,0.026,0.974
6,3,0,0.0855,0.9145
6,4,0.0015,0.224,0.7745
7,1,0,0.0065,0.9935
7,2,0,0.591,0.409
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0015,0.9985
8,3,0,0.896,0.104
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.501,0.499
9,3,0,0.982,0.018
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.001,0.999
10,3,0,0.5505,0.4495
10,4,0,0.9435,0.0565
