y,fzone,punt,kick,gofor
1,1,0.978,0,0.022
1,2,0.9975,0,0.0025
1,3,1,0,0
1,4,1,0,0
2,1,0.974,0,0.026
2,2,0.995,0,0.005
2,3,1,0,0
2,4,1,0,0
3,1,0.99,0,0.01
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.97,0,0.03
4,2,0.997,0,0.003
4,3,1,0,0
4,4,1,0,0
5,1,0.526,0,0.474
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.023,0.017,0.96
6,2,0.8105,0.031,0.1585
6,3,0.9635,0.032,0.0045
6,4,0.965,0.0325,0.0025
7,1,0,0.981,0.019
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.994,0.006
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9995,0.0005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9905,0.0095
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
