y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.271,0,0.729
1,3,0.9945,0,0.0055
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.2525,0,0.7475
2,3,0.998,0,0.002
2,4,1,0,0
3,1,0.002,0,0.998
3,2,0.4745,0,0.5255
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0035,0,0.9965
4,3,0.941,0,0.059
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.063,0,0.937
5,4,0.938,0,0.062
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.137,0.2115,0.6515
7,1,0,0.029,0.971
7,2,0,0.8165,0.1835
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.073,0.927
8,3,0,0.993,0.007
8,4,0,1,0
9,1,0,0.0175,0.9825
9,2,0,0.8435,0.1565
9,3,0,0.998,0.002
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0305,0.9695
10,3,0,0.8015,0.1985
10,4,0,0.978,0.022
