y,fzone,punt,kick,gofor
1,1,0.981,0,0.019
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.9725,0,0.0275
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.9925,0,0.0075
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.965,0,0.035
4,2,0.997,0,0.003
4,3,1,0,0
4,4,1,0,0
5,1,0.4365,0,0.5635
5,2,0.994,0,0.006
5,3,0.997,0,0.003
5,4,0.997,0,0.003
6,1,0.01,0.0145,0.9755
6,2,0.7025,0.03,0.2675
6,3,0.963,0.033,0.004
6,4,0.964,0.0335,0.0025
7,1,0,0.951,0.049
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.983,0.017
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.999,0.001
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.979,0.021
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
