y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0155,0,0.9845
1,3,0.8555,0,0.1445
1,4,0.999,0,0.001
2,1,0,0,1
2,2,0.084,0,0.916
2,3,0.987,0,0.013
2,4,1,0,0
3,1,0,0,1
3,2,0.042,0,0.958
3,3,0.9885,0,0.0115
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.498,0,0.502
4,4,0.997,0,0.003
5,1,0,0,1
5,2,0,0,1
5,3,0.004,0,0.996
5,4,0.6445,0,0.3555
6,1,0,0.009,0.991
6,2,0,0.026,0.974
6,3,0,0.0855,0.9145
6,4,0.0245,0.224,0.7515
7,1,0,0.014,0.986
7,2,0,0.714,0.286
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0095,0.9905
8,3,0,0.962,0.038
8,4,0,1,0
9,1,0,0.0025,0.9975
9,2,0,0.6395,0.3605
9,3,0,0.989,0.011
9,4,0,1,0
10,1,0,0,1
10,2,0,0.003,0.997
10,3,0,0.634,0.366
10,4,0,0.9575,0.0425
