y,fzone,punt,kick,gofor
1,1,0.626,0,0.374
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.463,0,0.537
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.8105,0,0.1895
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.414,0,0.586
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.0045,0,0.9955
5,2,0.6995,0,0.3005
5,3,1,0,0
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0.004,0.0345,0.9615
6,3,0.8755,0.0635,0.061
6,4,0.936,0.064,0
7,1,0,0.773,0.227
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.7995,0.2005
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9945,0.0055
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.6365,0.3635
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
