y,fzone,punt,kick,gofor
1,1,0.966,0,0.034
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.933,0,0.067
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.991,0,0.009
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.905,0,0.095
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.183,0,0.817
5,2,0.9855,0,0.0145
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0.0015,0.014,0.9845
6,2,0.3265,0.035,0.6385
6,3,0.952,0.0445,0.0035
6,4,0.954,0.0445,0.0015
7,1,0,0.8935,0.1065
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9255,0.0745
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9985,0.0015
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.804,0.196
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
