y,fzone,punt,kick,gofor
1,1,0.374,0,0.626
1,2,0.9935,0,0.0065
1,3,1,0,0
1,4,1,0,0
2,1,0.2785,0,0.7215
2,2,0.994,0,0.006
2,3,1,0,0
2,4,1,0,0
3,1,0.6025,0,0.3975
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.1465,0,0.8535
4,2,0.992,0,0.008
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.25,0,0.75
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0,0.034,0.966
6,3,0.5325,0.0855,0.382
6,4,0.9045,0.094,0.0015
7,1,0,0.6395,0.3605
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.431,0.569
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9485,0.0515
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.155,0.845
10,2,0,0.9815,0.0185
10,3,0,1,0
10,4,0,1,0
