y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0295,0,0.9705
1,3,0.875,0,0.125
1,4,0.9995,0,0.0005
2,1,0,0,1
2,2,0.105,0,0.895
2,3,0.99,0,0.01
2,4,1,0,0
3,1,0,0,1
3,2,0.042,0,0.958
3,3,0.9855,0,0.0145
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.3705,0,0.6295
4,4,0.995,0,0.005
5,1,0,0,1
5,2,0,0,1
5,3,0.001,0,0.999
5,4,0.54,0,0.46
6,1,0,0.009,0.991
6,2,0,0.0275,0.9725
6,3,0,0.0875,0.9125
6,4,0.0115,0.228,0.7605
7,1,0,0.008,0.992
7,2,0,0.6295,0.3705
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0005,0.9995
8,3,0,0.8875,0.1125
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.448,0.552
9,3,0,0.9815,0.0185
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.0005,0.9995
10,3,0,0.5025,0.4975
10,4,0,0.925,0.075
