y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.2215,0,0.7785
1,3,0.989,0,0.011
1,4,1,0,0
2,1,0,0,1
2,2,0.1925,0,0.8075
2,3,0.9975,0,0.0025
2,4,1,0,0
3,1,0,0,1
3,2,0.3685,0,0.6315
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.001,0,0.999
4,3,0.875,0,0.125
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0245,0,0.9755
5,4,0.875,0,0.125
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.0865,0.215,0.6985
7,1,0,0.0205,0.9795
7,2,0,0.7625,0.2375
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0235,0.9765
8,3,0,0.985,0.015
8,4,0,1,0
9,1,0,0.0065,0.9935
9,2,0,0.7475,0.2525
9,3,0,0.995,0.005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.012,0.988
10,3,0,0.723,0.277
10,4,0,0.967,0.033
