y,fzone,punt,kick,gofor
1,1,0.9995,0,0.0005
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.9985,0,0.0015
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9955,0,0.0045
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.9395,0,0.0605
5,2,0.9965,0,0.0035
5,3,0.9975,0,0.0025
5,4,0.9995,0,0.0005
6,1,0.4115,0.0135,0.575
6,2,0.9805,0.014,0.0055
6,3,0.983,0.014,0.003
6,4,0.983,0.014,0.003
7,1,0,0.9295,0.0705
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9745,0.0255
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.957,0.043
10,2,0,0.9975,0.0025
10,3,0,0.9995,0.0005
10,4,0,1,0
