y,fzone,punt,kick,gofor
1,1,0.0155,0,0.9845
1,2,0.735,0,0.265
1,3,1,0,0
1,4,1,0,0
2,1,0.0065,0,0.9935
2,2,0.6975,0,0.3025
2,3,1,0,0
2,4,1,0,0
3,1,0.041,0,0.959
3,2,0.9455,0,0.0545
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.448,0,0.552
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.766,0,0.234
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.018,0.0925,0.8895
6,4,0.7405,0.1585,0.101
7,1,0,0.3015,0.6985
7,2,0,0.986,0.014
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0615,0.9385
8,2,0,0.9615,0.0385
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6575,0.3425
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0165,0.9835
10,2,0,0.782,0.218
10,3,0,0.997,0.003
10,4,0,1,0
