y,fzone,punt,kick,gofor
1,1,0.988,0,0.012
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.973,0,0.027
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9965,0,0.0035
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9575,0,0.0425
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.367,0,0.633
5,2,0.9935,0,0.0065
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0.005,0.014,0.981
6,2,0.61,0.03,0.36
6,3,0.963,0.034,0.003
6,4,0.9645,0.0345,0.001
7,1,0,0.9245,0.0755
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.954,0.046
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9985,0.0015
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.89,0.11
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
