y,fzone,punt,kick,gofor
1,1,0.433,0,0.567
1,2,0.9955,0,0.0045
1,3,1,0,0
1,4,1,0,0
2,1,0.344,0,0.656
2,2,0.997,0,0.003
2,3,1,0,0
2,4,1,0,0
3,1,0.665,0,0.335
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.195,0,0.805
4,2,0.9945,0,0.0055
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.307,0,0.693
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.0135,0.9865
6,2,0,0.0355,0.9645
6,3,0.57,0.0865,0.3435
6,4,0.9035,0.095,0.0015
7,1,0,0.6975,0.3025
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.524,0.476
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.967,0.033
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2145,0.7855
10,2,0,0.987,0.013
10,3,0,1,0
10,4,0,1,0
