y,fzone,punt,kick,gofor
1,1,0.328,0,0.672
1,2,0.9905,0,0.0095
1,3,1,0,0
1,4,1,0,0
2,1,0.2295,0,0.7705
2,2,0.99,0,0.01
2,3,1,0,0
2,4,1,0,0
3,1,0.5285,0,0.4715
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.0995,0,0.9005
4,2,0.9865,0,0.0135
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1575,0,0.8425
5,3,0.9965,0,0.0035
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0325,0.9675
6,3,0.426,0.086,0.488
6,4,0.8995,0.0985,0.002
7,1,0,0.54,0.46
7,2,0,0.998,0.002
7,3,0,1,0
7,4,0,1,0
8,1,0,0.279,0.721
8,2,0,0.9975,0.0025
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9015,0.0985
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0755,0.9245
10,2,0,0.947,0.053
10,3,0,0.9995,0.0005
10,4,0,1,0
