y,fzone,punt,kick,gofor
1,1,0.0035,0,0.9965
1,2,0.597,0,0.403
1,3,1,0,0
1,4,1,0,0
2,1,0.002,0,0.998
2,2,0.535,0,0.465
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.012,0,0.988
3,2,0.834,0,0.166
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1955,0,0.8045
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.525,0,0.475
5,4,0.997,0,0.003
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.002,0.088,0.91
6,4,0.582,0.175,0.243
7,1,0,0.2,0.8
7,2,0,0.979,0.021
7,3,0,1,0
7,4,0,1,0
8,1,0,0.015,0.985
8,2,0,0.8905,0.1095
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4645,0.5355
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.5975,0.4025
10,3,0,0.9905,0.0095
10,4,0,1,0
