y,fzone,punt,kick,gofor
1,1,0.988,0,0.012
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.9745,0,0.0255
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.997,0,0.003
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9595,0,0.0405
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.366,0,0.634
5,2,0.9935,0,0.0065
5,3,1,0,0
5,4,1,0,0
6,1,0.0045,0.014,0.9815
6,2,0.609,0.03,0.361
6,3,0.9635,0.0335,0.003
6,4,0.965,0.0335,0.0015
7,1,0,0.9255,0.0745
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.956,0.044
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9995,0.0005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.896,0.104
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
