y,fzone,punt,kick,gofor
1,1,0.043,0,0.957
1,2,0.8585,0,0.1415
1,3,1,0,0
1,4,1,0,0
2,1,0.0205,0,0.9795
2,2,0.8425,0,0.1575
2,3,1,0,0
2,4,1,0,0
3,1,0.095,0,0.905
3,2,0.9805,0,0.0195
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.675,0,0.325
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.002,0,0.998
5,3,0.9145,0,0.0855
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.0735,0.091,0.8355
6,4,0.8315,0.1335,0.035
7,1,0,0.3615,0.6385
7,2,0,0.9925,0.0075
7,3,0,1,0
7,4,0,1,0
8,1,0,0.121,0.879
8,2,0,0.988,0.012
8,3,0,1,0
8,4,0,1,0
9,1,0,0.786,0.214
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0405,0.9595
10,2,0,0.894,0.106
10,3,0,0.9995,0.0005
10,4,0,1,0
