y,fzone,punt,kick,gofor
1,1,0.3455,0,0.6545
1,2,0.9925,0,0.0075
1,3,1,0,0
1,4,1,0,0
2,1,0.2565,0,0.7435
2,2,0.992,0,0.008
2,3,1,0,0
2,4,1,0,0
3,1,0.5585,0,0.4415
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.12,0,0.88
4,2,0.989,0,0.011
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.194,0,0.806
5,3,0.9975,0,0.0025
5,4,1,0,0
6,1,0,0.0105,0.9895
6,2,0,0.033,0.967
6,3,0.472,0.086,0.442
6,4,0.9015,0.0965,0.002
7,1,0,0.568,0.432
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.319,0.681
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9215,0.0785
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.096,0.904
10,2,0,0.9615,0.0385
10,3,0,0.9995,0.0005
10,4,0,1,0
