y,fzone,punt,kick,gofor
1,1,0.3925,0,0.6075
1,2,0.9945,0,0.0055
1,3,1,0,0
1,4,1,0,0
2,1,0.28,0,0.72
2,2,0.9945,0,0.0055
2,3,1,0,0
2,4,1,0,0
3,1,0.5945,0,0.4055
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.136,0,0.864
4,2,0.991,0,0.009
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.225,0,0.775
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.033,0.967
6,3,0.5085,0.0855,0.406
6,4,0.9045,0.0935,0.002
7,1,0,0.5635,0.4365
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.31,0.69
8,2,0,0.9975,0.0025
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9155,0.0845
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.097,0.903
10,2,0,0.96,0.04
10,3,0,0.9995,0.0005
10,4,0,1,0
