y,fzone,punt,kick,gofor
1,1,0.5085,0,0.4915
1,2,0.9985,0,0.0015
1,3,1,0,0
1,4,1,0,0
2,1,0.3875,0,0.6125
2,2,0.9985,0,0.0015
2,3,1,0,0
2,4,1,0,0
3,1,0.716,0,0.284
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.248,0,0.752
4,2,0.9965,0,0.0035
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.401,0,0.599
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0,0.0345,0.9655
6,3,0.665,0.0825,0.2525
6,4,0.9125,0.087,0.0005
7,1,0,0.6555,0.3445
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.464,0.536
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9565,0.0435
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.175,0.825
10,2,0,0.9845,0.0155
10,3,0,1,0
10,4,0,1,0
