y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.011,0,0.989
1,3,0.813,0,0.187
1,4,0.9985,0,0.0015
2,1,0,0,1
2,2,0.0385,0,0.9615
2,3,0.965,0,0.035
2,4,1,0,0
3,1,0,0,1
3,2,0.1335,0,0.8665
3,3,0.996,0,0.004
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.676,0,0.324
4,4,0.9995,0,0.0005
5,1,0,0,1
5,2,0,0,1
5,3,0.0085,0,0.9915
5,4,0.755,0,0.245
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.0825,0.9175
6,4,0.0515,0.214,0.7345
7,1,0,0.0105,0.9895
7,2,0,0.679,0.321
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0085,0.9915
8,3,0,0.9615,0.0385
8,4,0,1,0
9,1,0,0.0025,0.9975
9,2,0,0.649,0.351
9,3,0,0.991,0.009
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.0035,0.9965
10,3,0,0.653,0.347
10,4,0,0.959,0.041
