y,fzone,punt,kick,gofor
1,1,0.031,0,0.969
1,2,0.816,0,0.184
1,3,1,0,0
1,4,1,0,0
2,1,0.0175,0,0.9825
2,2,0.7965,0,0.2035
2,3,1,0,0
2,4,1,0,0
3,1,0.0625,0,0.9375
3,2,0.964,0,0.036
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.4805,0,0.5195
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.747,0,0.253
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0265,0.9735
6,3,0.0115,0.089,0.8995
6,4,0.696,0.1595,0.1445
7,1,0,0.201,0.799
7,2,0,0.9775,0.0225
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0105,0.9895
8,2,0,0.824,0.176
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4165,0.5835
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.5075,0.4925
10,3,0,0.9845,0.0155
10,4,0,0.9995,0.0005
