y,fzone,punt,kick,gofor
1,1,0.981,0,0.019
1,2,0.9895,0,0.0105
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.986,0,0.014
2,2,0.989,0,0.011
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.9885,0,0.0115
3,2,0.9945,0,0.0055
3,3,1,0,0
3,4,1,0,0
4,1,0.9845,0,0.0155
4,2,0.991,0,0.009
4,3,0.997,0,0.003
4,4,0.998,0,0.002
5,1,0.729,0,0.271
5,2,0.995,0,0.005
5,3,0.995,0,0.005
5,4,0.997,0,0.003
6,1,0.0695,0.0165,0.914
6,2,0.9175,0.0255,0.057
6,3,0.9695,0.0255,0.005
6,4,0.971,0.026,0.003
7,1,0,0.951,0.049
7,2,0,0.996,0.004
7,3,0,1,0
7,4,0,1,0
8,1,0,0.965,0.035
8,2,0,0.991,0.009
8,3,0,1,0
8,4,0,1,0
9,1,0,0.984,0.016
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.964,0.036
10,2,0,0.985,0.015
10,3,0,0.997,0.003
10,4,0,0.9995,0.0005
