y,fzone,punt,kick,gofor
1,1,0.0315,0,0.9685
1,2,0.8125,0,0.1875
1,3,1,0,0
1,4,1,0,0
2,1,0.0175,0,0.9825
2,2,0.7955,0,0.2045
2,3,1,0,0
2,4,1,0,0
3,1,0.061,0,0.939
3,2,0.96,0,0.04
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.4535,0,0.5465
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.7195,0,0.2805
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0275,0.9725
6,3,0.01,0.09,0.9
6,4,0.6755,0.1625,0.162
7,1,0,0.205,0.795
7,2,0,0.9765,0.0235
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0095,0.9905
8,2,0,0.817,0.183
8,3,0,1,0
8,4,0,1,0
9,1,0,0.396,0.604
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.473,0.527
10,3,0,0.983,0.017
10,4,0,0.9995,0.0005
