y,fzone,punt,kick,gofor
1,1,0.0895,0,0.9105
1,2,0.932,0,0.068
1,3,1,0,0
1,4,1,0,0
2,1,0.0535,0,0.9465
2,2,0.9415,0,0.0585
2,3,1,0,0
2,4,1,0,0
3,1,0.2195,0,0.7805
3,2,0.994,0,0.006
3,3,1,0,0
3,4,1,0,0
4,1,0.016,0,0.984
4,2,0.896,0,0.104
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.028,0,0.972
5,3,0.9825,0,0.0175
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.032,0.968
6,3,0.197,0.094,0.709
6,4,0.87,0.1205,0.0095
7,1,0,0.5005,0.4995
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.307,0.693
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9,0.1
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.131,0.869
10,2,0,0.9645,0.0355
10,3,0,0.9995,0.0005
10,4,0,1,0
