y,fzone,punt,kick,gofor
1,1,0.4925,0,0.5075
1,2,0.998,0,0.002
1,3,1,0,0
1,4,1,0,0
2,1,0.3795,0,0.6205
2,2,0.9985,0,0.0015
2,3,1,0,0
2,4,1,0,0
3,1,0.703,0,0.297
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.2395,0,0.7605
4,2,0.996,0,0.004
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.383,0,0.617
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0,0.0345,0.9655
6,3,0.6515,0.083,0.2655
6,4,0.9105,0.0885,0.001
7,1,0,0.6465,0.3535
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4425,0.5575
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9525,0.0475
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.163,0.837
10,2,0,0.983,0.017
10,3,0,1,0
10,4,0,1,0
