y,fzone,punt,kick,gofor
1,1,0.0535,0,0.9465
1,2,0.874,0,0.126
1,3,1,0,0
1,4,1,0,0
2,1,0.03,0,0.97
2,2,0.8785,0,0.1215
2,3,1,0,0
2,4,1,0,0
3,1,0.11,0,0.89
3,2,0.983,0,0.017
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.6395,0,0.3605
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.863,0,0.137
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0275,0.9725
6,3,0.031,0.0895,0.8795
6,4,0.7725,0.151,0.0765
7,1,0,0.26,0.74
7,2,0,0.983,0.017
7,3,0,1,0
7,4,0,1,0
8,1,0,0.026,0.974
8,2,0,0.91,0.09
8,3,0,1,0
8,4,0,1,0
9,1,0,0.531,0.469
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.002,0.998
10,2,0,0.6285,0.3715
10,3,0,0.9925,0.0075
10,4,0,1,0
