y,fzone,punt,kick,gofor
1,1,0.113,0,0.887
1,2,0.9445,0,0.0555
1,3,1,0,0
1,4,1,0,0
2,1,0.075,0,0.925
2,2,0.954,0,0.046
2,3,1,0,0
2,4,1,0,0
3,1,0.2425,0,0.7575
3,2,0.996,0,0.004
3,3,1,0,0
3,4,1,0,0
4,1,0.014,0,0.986
4,2,0.8725,0,0.1275
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.012,0,0.988
5,3,0.9635,0,0.0365
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.1255,0.0935,0.781
6,4,0.8515,0.127,0.0215
7,1,0,0.4025,0.5975
7,2,0,0.994,0.006
7,3,0,1,0
7,4,0,1,0
8,1,0,0.1035,0.8965
8,2,0,0.98,0.02
8,3,0,1,0
8,4,0,1,0
9,1,0,0.767,0.233
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.02,0.98
10,2,0,0.838,0.162
10,3,0,0.999,0.001
10,4,0,1,0
