y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0,0,1
1,4,0,0,1
2,1,0,0,1
2,2,0,0,1
2,3,0,0,1
2,4,0,0,1
3,1,0,0,1
3,2,0,0,1
3,3,0,0,1
3,4,0,0,1
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0,0,1
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0,0,1
6,1,0,0.0095,0.9905
6,2,0,0.022,0.978
6,3,0,0.06,0.94
6,4,0,0.1655,0.8345
7,1,0,0,1
7,2,0,0.0075,0.9925
7,3,0,0.1135,0.8865
7,4,0,0.5525,0.4475
8,1,0,0,1
8,2,0,0,1
8,3,0,0,1
8,4,0,0.0095,0.9905
9,1,0,0,1
9,2,0,0,1
9,3,0,0.0145,0.9855
9,4,0,0.245,0.755
10,1,0,0,1
10,2,0,0,1
10,3,0,0,1
10,4,0,0.014,0.986
