y,fzone,punt,kick,gofor
1,1,0.033,0,0.967
1,2,0.8205,0,0.1795
1,3,1,0,0
1,4,1,0,0
2,1,0.019,0,0.981
2,2,0.808,0,0.192
2,3,1,0,0
2,4,1,0,0
3,1,0.065,0,0.935
3,2,0.9655,0,0.0345
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.4815,0,0.5185
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.741,0,0.259
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0265,0.9735
6,3,0.0115,0.09,0.8985
6,4,0.688,0.1615,0.1505
7,1,0,0.207,0.793
7,2,0,0.978,0.022
7,3,0,1,0
7,4,0,1,0
8,1,0,0.01,0.99
8,2,0,0.8305,0.1695
8,3,0,1,0
8,4,0,1,0
9,1,0,0.408,0.592
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.485,0.515
10,3,0,0.984,0.016
10,4,0,0.9995,0.0005
