y,fzone,punt,kick,gofor
1,1,0.0135,0,0.9865
1,2,0.7325,0,0.2675
1,3,1,0,0
1,4,1,0,0
2,1,0.0085,0,0.9915
2,2,0.706,0,0.294
2,3,1,0,0
2,4,1,0,0
3,1,0.034,0,0.966
3,2,0.93,0,0.07
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.3005,0,0.6995
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.5865,0,0.4135
5,4,0.997,0,0.003
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.002,0.089,0.909
6,4,0.5825,0.176,0.2415
7,1,0,0.166,0.834
7,2,0,0.9685,0.0315
7,3,0,1,0
7,4,0,1,0
8,1,0,0.005,0.995
8,2,0,0.724,0.276
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2965,0.7035
9,2,0,0.993,0.007
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.3655,0.6345
10,3,0,0.9745,0.0255
10,4,0,0.9985,0.0015
