y,fzone,punt,kick,gofor
1,1,0.056,0,0.944
1,2,0.8845,0,0.1155
1,3,1,0,0
1,4,1,0,0
2,1,0.0355,0,0.9645
2,2,0.8935,0,0.1065
2,3,1,0,0
2,4,1,0,0
3,1,0.123,0,0.877
3,2,0.987,0,0.013
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.664,0,0.336
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.871,0,0.129
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.0345,0.0915,0.874
6,4,0.776,0.1525,0.0715
7,1,0,0.282,0.718
7,2,0,0.9855,0.0145
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0295,0.9705
8,2,0,0.922,0.078
8,3,0,1,0
8,4,0,1,0
9,1,0,0.5475,0.4525
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.002,0.998
10,2,0,0.633,0.367
10,3,0,0.993,0.007
10,4,0,1,0
