y,fzone,punt,kick,gofor
1,1,0.043,0,0.957
1,2,0.8555,0,0.1445
1,3,1,0,0
1,4,1,0,0
2,1,0.018,0,0.982
2,2,0.8175,0,0.1825
2,3,1,0,0
2,4,1,0,0
3,1,0.0765,0,0.9235
3,2,0.9745,0,0.0255
3,3,1,0,0
3,4,1,0,0
4,1,0.002,0,0.998
4,2,0.6175,0,0.3825
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.001,0,0.999
5,3,0.889,0,0.111
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.025,0.975
6,3,0.053,0.0835,0.8635
6,4,0.817,0.129,0.054
7,1,0,0.175,0.825
7,2,0,0.9745,0.0255
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0185,0.9815
8,2,0,0.8965,0.1035
8,3,0,1,0
8,4,0,1,0
9,1,0,0.527,0.473
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0055,0.9945
10,2,0,0.6785,0.3215
10,3,0,0.9945,0.0055
10,4,0,1,0
