y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.015,0,0.985
1,3,0.8505,0,0.1495
1,4,0.999,0,0.001
2,1,0,0,1
2,2,0.081,0,0.919
2,3,0.984,0,0.016
2,4,1,0,0
3,1,0,0,1
3,2,0.042,0,0.958
3,3,0.9885,0,0.0115
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.5235,0,0.4765
4,4,0.9975,0,0.0025
5,1,0,0,1
5,2,0,0,1
5,3,0.004,0,0.996
5,4,0.667,0,0.333
6,1,0,0.009,0.991
6,2,0,0.0255,0.9745
6,3,0,0.0855,0.9145
6,4,0.0285,0.2235,0.748
7,1,0,0.0175,0.9825
7,2,0,0.735,0.265
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.015,0.985
8,3,0,0.9715,0.0285
8,4,0,1,0
9,1,0,0.0025,0.9975
9,2,0,0.6685,0.3315
9,3,0,0.993,0.007
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0045,0.9955
10,3,0,0.6645,0.3355
10,4,0,0.961,0.039
