y,fzone,punt,kick,gofor
1,1,0.991,0,0.009
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.9795,0,0.0205
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9975,0,0.0025
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9685,0,0.0315
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.443,0,0.557
5,2,0.9955,0,0.0045
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0.008,0.014,0.978
6,2,0.6965,0.029,0.2745
6,3,0.9665,0.0305,0.003
6,4,0.968,0.031,0.001
7,1,0,0.931,0.069
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9615,0.0385
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9985,0.0015
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9115,0.0885
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
