y,fzone,punt,kick,gofor
1,1,0.3605,0,0.6395
1,2,0.9935,0,0.0065
1,3,1,0,0
1,4,1,0,0
2,1,0.2655,0,0.7345
2,2,0.9935,0,0.0065
2,3,1,0,0
2,4,1,0,0
3,1,0.5725,0,0.4275
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.129,0,0.871
4,2,0.99,0,0.01
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.204,0,0.796
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.034,0.966
6,3,0.486,0.087,0.427
6,4,0.9005,0.0975,0.002
7,1,0,0.614,0.386
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.383,0.617
8,2,0,0.999,0.001
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9345,0.0655
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.128,0.872
10,2,0,0.975,0.025
10,3,0,0.9995,0.0005
10,4,0,1,0
