y,fzone,punt,kick,gofor
1,1,0.362,0,0.638
1,2,0.9935,0,0.0065
1,3,1,0,0
1,4,1,0,0
2,1,0.2195,0,0.7805
2,2,0.9905,0,0.0095
2,3,1,0,0
2,4,1,0,0
3,1,0.5555,0,0.4445
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.1475,0,0.8525
4,2,0.992,0,0.008
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.327,0,0.673
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.666,0.071,0.263
6,4,0.927,0.0725,0.0005
7,1,0,0.5035,0.4965
7,2,0,0.998,0.002
7,3,0,1,0
7,4,0,1,0
8,1,0,0.36,0.64
8,2,0,0.999,0.001
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9325,0.0675
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.192,0.808
10,2,0,0.985,0.015
10,3,0,1,0
10,4,0,1,0
