y,fzone,punt,kick,gofor
1,1,0.345,0,0.655
1,2,0.9925,0,0.0075
1,3,1,0,0
1,4,1,0,0
2,1,0.2445,0,0.7555
2,2,0.992,0,0.008
2,3,1,0,0
2,4,1,0,0
3,1,0.541,0,0.459
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.108,0,0.892
4,2,0.9875,0,0.0125
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1685,0,0.8315
5,3,0.9975,0,0.0025
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0,0.0335,0.9665
6,3,0.445,0.0865,0.4685
6,4,0.8995,0.0985,0.002
7,1,0,0.5785,0.4215
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.329,0.671
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9185,0.0815
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.096,0.904
10,2,0,0.961,0.039
10,3,0,0.9995,0.0005
10,4,0,1,0
