y,fzone,punt,kick,gofor
1,1,0.984,0,0.016
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.986,0,0.014
2,2,0.9955,0,0.0045
2,3,1,0,0
2,4,1,0,0
3,1,0.9905,0,0.0095
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.9825,0,0.0175
4,2,0.997,0,0.003
4,3,0.9985,0,0.0015
4,4,1,0,0
5,1,0.6755,0,0.3245
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.0515,0.0165,0.932
6,2,0.8965,0.0255,0.078
6,3,0.9695,0.0255,0.005
6,4,0.9715,0.026,0.0025
7,1,0,0.9525,0.0475
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.971,0.029
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.997,0.003
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9645,0.0355
10,2,0,0.997,0.003
10,3,0,1,0
10,4,0,1,0
